trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.5, 'e': 0.04192700919569768}",25,17,15.863664544414235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.04108846901178373}",20,2,27.982421822315363,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.04026669963154805}",25,0,42.32594041248017,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.03946136563891709}",30,17,11.37081280375193,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.03867213832613875}",25,12,24.427457903951804,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.037898695559615975}",30,12,-12.84628937745131,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.03714072164842366}",25,13,24.436657591543117,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.03639790721545518}",35,17,30.304643143095515,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.035669949071146075}",30,13,-10.958229469344047,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.034956550089723155}",20,0,23.526949721898433,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.03425741908792869}",25,3,35.56648180532796,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03357227070617012}",20,10,20.699170109638175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.032900825292046715}",30,15,18.59962425880329,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03224280878620578}",20,12,13.298080423744672,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.031597952610481664}",25,13,24.432198109465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
